strain	filter	kwargs
AB972497	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447463	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541352	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972495	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541208	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039778	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541307	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541321	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447438	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541237	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972480	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447442	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EF670650	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541252	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541320	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB187514	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541348	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541345	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB365435	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447457	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541279	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DD234364	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541299	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972479	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541303	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541228	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541295	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541326	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541322	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972486	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ911368	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972489	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB083781	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541290	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EU482057	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541296	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EF531291	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541344	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541255	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541359	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541264	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY485642	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541220	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541215	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952131	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541206	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541266	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
FV536855	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541247	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541284	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447459	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972499	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KC792553	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447434	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541314	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952132	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972502	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447451	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
FV536854	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541337	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AJ011099	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541304	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EU310927	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447456	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447432	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541214	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541287	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541354	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541357	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541334	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972498	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952126	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541253	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447453	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972481	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541298	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU757048	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447437	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU870455	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
L07418	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972475	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854572	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541226	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
PV766927	filter_by_min_length	"[[""min_length"", 7000]]"
PV766928	filter_by_min_length	"[[""min_length"", 7000]]"
LC848173	filter_by_min_length	"[[""min_length"", 7000]]"
KC597146	filter_by_min_length	"[[""min_length"", 7000]]"
OP205575	filter_by_min_length	"[[""min_length"", 7000]]"
KC576913	filter_by_min_length	"[[""min_length"", 7000]]"
KC810028	filter_by_min_length	"[[""min_length"", 7000]]"
MG557652	filter_by_min_length	"[[""min_length"", 7000]]"
OP205546	filter_by_min_length	"[[""min_length"", 7000]]"
KC810023	filter_by_min_length	"[[""min_length"", 7000]]"
OP205548	filter_by_min_length	"[[""min_length"", 7000]]"
MG557648	filter_by_min_length	"[[""min_length"", 7000]]"
OP205562	filter_by_min_length	"[[""min_length"", 7000]]"
PX113524	filter_by_min_length	"[[""min_length"", 7000]]"
MH608285	filter_by_min_length	"[[""min_length"", 7000]]"
OP205530	filter_by_min_length	"[[""min_length"", 7000]]"
MH702283	filter_by_min_length	"[[""min_length"", 7000]]"
MH260511	filter_by_min_length	"[[""min_length"", 7000]]"
LC848171	filter_by_min_length	"[[""min_length"", 7000]]"
OP205540	filter_by_min_length	"[[""min_length"", 7000]]"
KC597144	filter_by_min_length	"[[""min_length"", 7000]]"
LC848166	filter_by_min_length	"[[""min_length"", 7000]]"
LC145792	subsampling	
MT357899	subsampling	
KY905332	subsampling	
KJ196291	subsampling	
MK073888	subsampling	
OP162342	subsampling	
KC409260	subsampling	
PV750891	subsampling	
MZ462929	subsampling	
PQ195911	subsampling	
JX846924	subsampling	
KF039731	subsampling	
KT780403	subsampling	
OP205539	subsampling	
MK752945	subsampling	
KM102449	subsampling	
OR536445	subsampling	
MT929247	subsampling	
PV275070	subsampling	
LC699536	subsampling	
KC175405	subsampling	
KC409257	subsampling	
KC409278	subsampling	
PX458189	subsampling	
MW305691	subsampling	
MT218311	subsampling	
MH260497	subsampling	
MK762621	subsampling	
LC122695	subsampling	
PV765508	subsampling	
OL757872	subsampling	
JQ613570	subsampling	
KC175387	subsampling	
LC122788	subsampling	
LC122708	subsampling	
MH218678	subsampling	
KC597139	subsampling	
MW305704	subsampling	
PQ273192	subsampling	
PP550071	subsampling	
MW305626	subsampling	
PQ590551	subsampling	
JF320644	subsampling	
KY348698	subsampling	
OP712196	subsampling	
OR062612	subsampling	
PV611448	subsampling	
PQ196568	subsampling	
MZ462931	subsampling	
MT372462	subsampling	
MK073892	subsampling	
LC209447	subsampling	
PV635313	subsampling	
MT372475	subsampling	
KC409312	subsampling	
MK762628	subsampling	
KF712505	subsampling	
PQ310130	subsampling	
PQ373129	subsampling	
OP205571	subsampling	
PP658559	subsampling	
LC122790	subsampling	
OM373207	subsampling	
PP267272	subsampling	
LC122692	subsampling	
KU561248	subsampling	
PV242311	subsampling	
KU311161	subsampling	
KF306214	subsampling	
OP205529	subsampling	
MF140687	subsampling	
PX458200	subsampling	
LC122913	subsampling	
PQ195902	subsampling	
PP498986	subsampling	
OR793076	subsampling	
LC369236	subsampling	
AB933715	subsampling	
OP205569	subsampling	
MK789655	subsampling	
MK614131	subsampling	
MK789436	subsampling	
MT026582	subsampling	
PQ195938	subsampling	
KC577175	subsampling	
LC043305	subsampling	
JX439819	subsampling	
PV232425	subsampling	
LC769697	subsampling	
LC122757	subsampling	
AB933700	subsampling	
PV765579	subsampling	
PQ195910	subsampling	
PP550056	subsampling	
MH218651	subsampling	
OR268207	subsampling	
PV765507	subsampling	
PV275051	subsampling	
AB933706	subsampling	
MH218625	subsampling	
LC043139	subsampling	
MH218583	subsampling	
LC122889	subsampling	
LC043168	subsampling	
LC122827	subsampling	
MH218594	subsampling	
KM198544	subsampling	
OR051903	subsampling	
KC409289	subsampling	
MK067290	subsampling	
PV266776	subsampling	
MH413070	subsampling	
MN996298	subsampling	
AB933691	subsampling	
MW559991	subsampling	
JX445167	subsampling	
JX445164	subsampling	
MF140651	subsampling	
OP205550	subsampling	
MH218654	subsampling	
PQ207928	subsampling	
MT008460	subsampling	
PV418616	subsampling	
MF140648	subsampling	
LC122716	subsampling	
LC369222	subsampling	
MT158857	subsampling	
MH218662	subsampling	
MW305650	subsampling	
NC_044855	subsampling	
KJ685417	subsampling	
MW305525	subsampling	
OP205578	subsampling	
PQ195919	subsampling	
LC209467	subsampling	
MG746031	subsampling	
PQ195939	subsampling	
PX458248	subsampling	
MF067043	subsampling	
KM198582	subsampling	
MT029316	subsampling	
OR536469	subsampling	
MW305519	subsampling	
MT158856	subsampling	
LC209452	subsampling	
OQ940076	subsampling	
MK764039	subsampling	
JX445156	subsampling	
OQ552780	subsampling	
PQ336872	subsampling	
MN394544	subsampling	
MW305499	subsampling	
MW284776	subsampling	
MK764013	subsampling	
LC122838	subsampling	
MW305673	subsampling	
KM198498	subsampling	
MG745985	subsampling	
MN227776	subsampling	
MT372469	subsampling	
GQ845369	subsampling	
MH218650	subsampling	
MH702268	subsampling	
OP205580	subsampling	
MN308007	subsampling	
MH218597	subsampling	
MH260506	subsampling	
PV784273	subsampling	
LC848163	subsampling	
PV232417	subsampling	
PQ208316	subsampling	
PV104273	subsampling	
KC175360	subsampling	
PV636607	subsampling	
MH218672	subsampling	
MG746038	subsampling	
OR262329	subsampling	
KF429778	subsampling	
MW305605	subsampling	
PV784283	subsampling	
PV784265	subsampling	
LC744881	subsampling	
KC175371	subsampling	
AB933695	subsampling	
OP205565	subsampling	
MK764014	subsampling	
MT158861	subsampling	
LC122741	subsampling	
LC597117	subsampling	
MG746037	subsampling	
LC122732	subsampling	
AB933676	subsampling	
MW305529	subsampling	
MT158855	subsampling	
OL336389	subsampling	
AB933766	subsampling	
PQ583778	subsampling	
LC122727	subsampling	
PV784347	subsampling	
MN416946	subsampling	
JX459901	subsampling	
MK073890	subsampling	
MF140686	subsampling	
MK775031	subsampling	
MT357992	subsampling	
KU561251	subsampling	
PQ273198	subsampling	
MH260503	subsampling	
LC122860	subsampling	
MH218729	subsampling	
MK616561	subsampling	
LC122887	subsampling	
KC175355	subsampling	
MH218715	subsampling	
PQ310126	subsampling	
KC409255	subsampling	
PX458228	subsampling	
MK762625	subsampling	
AB933742	subsampling	
LC122918	subsampling	
OR700742	subsampling	
MF973199	subsampling	
KC409254	subsampling	
KC175406	subsampling	
PV232416	subsampling	
LC122920	subsampling	
KT589391	subsampling	
JF320646	subsampling	
PV282528	subsampling	
PQ195930	subsampling	
PV784317	subsampling	
MF140671	subsampling	
MH218588	subsampling	
OP205534	subsampling	
KF712495	subsampling	
MG495079	subsampling	
MK067291	subsampling	
PP549885	subsampling	
JF320649	subsampling	
LC122912	subsampling	
LC790057	subsampling	
PX458199	subsampling	
LC769709	subsampling	
AB933702	subsampling	
MF140657	subsampling	
PV746277	subsampling	
LC145798	subsampling	
MW305684	subsampling	
MG746012	subsampling	
MZ573179	subsampling	
LC877027	subsampling	
MH218694	subsampling	
MH218700	subsampling	
KR154231	subsampling	
MK907798	subsampling	
JX445169	subsampling	
OP805360	subsampling	
MT238668	subsampling	
OQ940069	subsampling	
MW305536	subsampling	
PV087408	subsampling	
AB933713	subsampling	
PV750889	subsampling	
PQ507173	subsampling	
LC369238	subsampling	
MT367328	subsampling	
MN996299	subsampling	
LC646334	subsampling	
LC744874	subsampling	
MK614126	subsampling	
MH260507	subsampling	
OR463401	subsampling	
PQ196538	subsampling	
MF140661	subsampling	
MK764015	subsampling	
OM372672	subsampling	
OR536490	subsampling	
MT474050	subsampling	
MW305613	subsampling	
OL898513	subsampling	
MW305550	subsampling	
KJ685413	subsampling	
KM198510	subsampling	
KX907728	subsampling	
AB933654	subsampling	
MW305609	subsampling	
LC122795	subsampling	
MH218642	subsampling	
PV784304	subsampling	
OR397783	subsampling	
MK773581	subsampling	
OP037983	subsampling	
KR083017	subsampling	
EU004663	subsampling	
PP564832	subsampling	
KC175382	subsampling	
HQ317203	subsampling	
MW305648	subsampling	
MW305566	subsampling	
PQ195950	subsampling	
PX458264	subsampling	
KJ196292	subsampling	
MK159169	subsampling	
KR349276	subsampling	
PV611447	subsampling	
PQ215578	subsampling	
KJ196289	subsampling	
LC369228	subsampling	
PP267293	subsampling	
KX268709	subsampling	
PX458278	subsampling	
MW305528	subsampling	
PQ373127	subsampling	
MH218682	subsampling	
MW661271	subsampling	
OL943802	subsampling	
MT158851	subsampling	
OR700741	subsampling	
MW305546	subsampling	
AB933765	subsampling	
LC769685	subsampling	
MK789654	subsampling	
OL898511	subsampling	
MK073885	subsampling	
OM372489	subsampling	
ON076888	subsampling	
MK733206	subsampling	
OP727610	subsampling	
OR793102	subsampling	
MN897754	subsampling	
KM198483	subsampling	
JN400620	subsampling	
MW305703	subsampling	
AB933726	subsampling	
LC369234	subsampling	
LC122808	subsampling	
LC122925	subsampling	
MK753021	subsampling	
MH218647	subsampling	
LC122718	subsampling	
AB933722	subsampling	
MW305715	subsampling	
KC175404	subsampling	
MK614124	subsampling	
OR069405	subsampling	
MG572730	subsampling	
OR793084	subsampling	
OR084255	subsampling	
LC848167	subsampling	
MW305503	subsampling	
PQ196533	subsampling	
MK754446	subsampling	
MF140650	subsampling	
PQ195920	subsampling	
MT720841	subsampling	
PQ336942	subsampling	
LC122700	subsampling	
LC369224	subsampling	
MF421538	subsampling	
LC769692	subsampling	
KC464500	subsampling	
MT238669	subsampling	
KF712506	subsampling	
OK376260	subsampling	
MW305612	subsampling	
PV242306	subsampling	
MK764021	subsampling	
PP550073	subsampling	
PQ195894	subsampling	
MK754445	subsampling	
OR536481	subsampling	
JQ911594	subsampling	
AB933728	subsampling	
LC369220	subsampling	
EU794907	subsampling	
OR844377	subsampling	
MK753020	subsampling	
MW018367	subsampling	
NC_044932	subsampling	
MT703831	subsampling	
KT780402	subsampling	
MW305541	subsampling	
KP407450	subsampling	
OQ940073	subsampling	
KM198493	subsampling	
MW939576	subsampling	
MK762746	subsampling	
LC877022	subsampling	
MT362912	subsampling	
PV750899	subsampling	
MT008453	subsampling	
KM198591	subsampling	
PP550077	subsampling	
MG049692	subsampling	
LC769713	subsampling	
KC175398	subsampling	
PP267277	subsampling	
MH260499	subsampling	
LC145801	subsampling	
JX989074	subsampling	
MK355712	subsampling	
MW174170	subsampling	
PV611449	subsampling	
OP037978	subsampling	
LC122862	subsampling	
KF039736	subsampling	
LC122817	subsampling	
MK762568	subsampling	
PQ215528	subsampling	
KY424331	subsampling	
KY348697	subsampling	
MW305553	subsampling	
LC122900	subsampling	
MH218580	subsampling	
PQ218567	subsampling	
PQ507183	subsampling	
LC122799	subsampling	
PQ195897	subsampling	
MF140660	subsampling	
KY947547	subsampling	
LC122859	subsampling	
LC384112	subsampling	
LC145802	subsampling	
MK752937	subsampling	
MW305643	subsampling	
PX458241	subsampling	
KM198491	subsampling	
OP162335	subsampling	
MK733203	subsampling	
MW261792	subsampling	
MH218592	subsampling	
OR844375	subsampling	
MG745989	subsampling	
MF140665	subsampling	
LC122907	subsampling	
MK614127	subsampling	
MH218606	subsampling	
OR267446	subsampling	
PX458242	subsampling	
OR084258	subsampling	
FJ515294	subsampling	
PQ336873	subsampling	
MW305577	subsampling	
KM198513	subsampling	
MG746036	subsampling	
OR084259	subsampling	
PV282522	subsampling	
LC122910	subsampling	
PV765572	subsampling	
MG733286	subsampling	
MH218688	subsampling	
LC209474	subsampling	
MK762635	subsampling	
KY486271	subsampling	
AB933737	subsampling	
PV920373	subsampling	
OR536480	subsampling	
AB933768	subsampling	
LC699527	subsampling	
MT372468	subsampling	
MK754443	subsampling	
MH702270	subsampling	
LC209438	subsampling	
MH218705	subsampling	
MN308006	subsampling	
LC122931	subsampling	
PP267271	subsampling	
PX458234	subsampling	
AB933754	subsampling	
MH638228	subsampling	
PP267289	subsampling	
MH218690	subsampling	
LC769681	subsampling	
PQ214836	subsampling	
PP658561	subsampling	
MK067293	subsampling	
LC597122	subsampling	
MW305483	subsampling	
MW661267	subsampling	
KC175379	subsampling	
MH218660	subsampling	
MW305676	subsampling	
OR536475	subsampling	
AB933747	subsampling	
PV232421	subsampling	
MW305482	subsampling	
PQ196520	subsampling	
MH218673	subsampling	
PX458216	subsampling	
KY424330	subsampling	
PV750897	subsampling	
PX458260	subsampling	
MZ268408	subsampling	
MK616558	subsampling	
KM198562	subsampling	
KC894943	subsampling	
KM198488	subsampling	
MK756036	subsampling	
PX458273	subsampling	
MK753007	subsampling	
LC699533	subsampling	
PQ215524	subsampling	
JN400625	subsampling	
LC122785	subsampling	
PV843272	subsampling	
LC384109	subsampling	
KF712497	subsampling	
KC409302	subsampling	
AB933759	subsampling	
PP267290	subsampling	
LC122892	subsampling	
LC122820	subsampling	
PQ215546	subsampling	
KY424340	subsampling	
MH218611	subsampling	
PV394759	subsampling	
KY424342	subsampling	
PX285874	subsampling	
LC122746	subsampling	
PV750894	subsampling	
PP550066	subsampling	
PV174244	subsampling	
PV275067	subsampling	
KY887606	subsampling	
MW284783	subsampling	
KF306213	subsampling	
PQ507174	subsampling	
MW305642	subsampling	
LC122833	subsampling	
PQ208328	subsampling	
MN227773	subsampling	
LC122879	subsampling	
PQ308684	subsampling	
MK648238	subsampling	
PV275057	subsampling	
AB933733	subsampling	
MH218669	subsampling	
PQ336860	subsampling	
LC122857	subsampling	
PQ214834	subsampling	
MK789430	subsampling	
MF140680	subsampling	
KM198480	subsampling	
MW305493	subsampling	
KC409268	subsampling	
KC409274	subsampling	
OR039448	subsampling	
MK752944	subsampling	
KU557786	subsampling	
MW661276	subsampling	
PP658552	subsampling	
PQ214835	subsampling	
LC122864	subsampling	
KC960615	subsampling	
PX458192	subsampling	
PQ678005	subsampling	
PV750898	subsampling	
MH218696	subsampling	
MT371769	subsampling	
MW305556	subsampling	
ON706289	subsampling	
LC122800	subsampling	
KC409291	subsampling	
AB933752	subsampling	
OP727605	subsampling	
OR051927	subsampling	
OR397767	subsampling	
KU561249	subsampling	
MN307999	subsampling	
MN308003	subsampling	
JN400605	subsampling	
MT742777	subsampling	
MN308000	subsampling	
MN448477	subsampling	
MK752939	subsampling	
PQ557605	subsampling	
OM980238	subsampling	
PV765589	subsampling	
MN897755	subsampling	
KP407451	subsampling	
LC145789	subsampling	
LC122915	subsampling	
JX846925	subsampling	
PQ336944	subsampling	
MK752936	subsampling	
MF140695	subsampling	
MW581006	subsampling	
LC209443	subsampling	
MK340748	subsampling	
MK588004	subsampling	
OR397771	subsampling	
PQ557608	subsampling	
MT089578	subsampling	
KM198561	subsampling	
MK483909	subsampling	
FJ692500	subsampling	
PQ195912	subsampling	
KM258130	subsampling	
MH218641	subsampling	
LC769686	subsampling	
MG733284	subsampling	
LC122778	subsampling	
PX458226	subsampling	
OR546399	subsampling	
LC699539	subsampling	
OR793074	subsampling	
LC122724	subsampling	
AB933709	subsampling	
OL336384	subsampling	
KF712493	subsampling	
KM198506	subsampling	
PQ195952	subsampling	
KF429768	subsampling	
MT316113	subsampling	
MW305580	subsampling	
LC769696	subsampling	
KC517377	subsampling	
MK762623	subsampling	
KC175346	subsampling	
KM198518	subsampling	
PV765569	subsampling	
PQ373130	subsampling	
PV232422	subsampling	
MK282258	subsampling	
KC175381	subsampling	
JN400600	subsampling	
PV784338	subsampling	
MG746044	subsampling	
PQ195949	subsampling	
PV282520	subsampling	
JN400615	subsampling	
LC122917	subsampling	
OR536463	subsampling	
MK775032	subsampling	
PP645199	subsampling	
GU325839	subsampling	
LC597129	subsampling	
MW305561	subsampling	
MK762639	subsampling	
PQ373141	subsampling	
MG746004	subsampling	
LC122870	subsampling	
KM198553	subsampling	
MK762638	subsampling	
LC122710	subsampling	
MK762633	subsampling	
KJ407074	subsampling	
PQ336868	subsampling	
LC699538	subsampling	
MH218572	subsampling	
ON569431	subsampling	
LC122737	subsampling	
OR793073	subsampling	
MT724793	subsampling	
LC769710	subsampling	
OR397787	subsampling	
LC369251	subsampling	
MW019621	subsampling	
MF140653	subsampling	
MG745990	subsampling	
PQ461163	subsampling	
MG214988	subsampling	
MH218720	subsampling	
KC409313	subsampling	
MF140669	subsampling	
KM198558	subsampling	
OK376252	subsampling	
LC771967	subsampling	
PP550090	subsampling	
PV282510	subsampling	
KC631815	subsampling	
MF416380	subsampling	
LC145805	subsampling	
KC409267	subsampling	
OP723155	subsampling	
JX126912	subsampling	
LC122844	subsampling	
KY947546	subsampling	
AB933649	subsampling	
PQ195915	subsampling	
MZ223425	subsampling	
OM373317	subsampling	
OK376261	subsampling	
OP037981	subsampling	
MW445537	subsampling	
JF320645	subsampling	
PV275042	subsampling	
PQ632221	subsampling	
MH218575	subsampling	
LC369227	subsampling	
PQ196544	subsampling	
MT474051	subsampling	
LC726059	subsampling	
LC122871	subsampling	
KC810024	subsampling	
MH218599	subsampling	
MG745991	subsampling	
LC389583	subsampling	
KC409249	subsampling	
LC122796	subsampling	
OL336388	subsampling	
KU311160	subsampling	
MW305681	subsampling	
PQ583776	subsampling	
KU557783	subsampling	
PQ632217	subsampling	
OP205558	subsampling	
KF429766	subsampling	
KY905337	subsampling	
MW261790	subsampling	
EU004670	subsampling	
KC409272	subsampling	
FJ446720	subsampling	
MH218699	subsampling	
AB933660	subsampling	
LC769714	subsampling	
JN400617	subsampling	
OR397782	subsampling	
LC790059	subsampling	
LC209462	subsampling	
AB933685	subsampling	
MG495078	subsampling	
MK762558	subsampling	
KM198495	subsampling	
MF421540	subsampling	
KF039728	subsampling	
OM373654	subsampling	
MW305665	subsampling	
LC369249	subsampling	
KC409261	subsampling	
OR536460	subsampling	
PQ196566	subsampling	
PQ310252	subsampling	
OP205538	subsampling	
KM198496	subsampling	
KC409309	subsampling	
LC037415	subsampling	
MW009071	subsampling	
KC409259	subsampling	
MG745997	subsampling	
KM198522	subsampling	
HQ664990	subsampling	
MT474047	subsampling	
PX458247	subsampling	
NC_045762	subsampling	
MH218646	subsampling	
AB933699	subsampling	
LC868432	subsampling	
PX113523	subsampling	
OR397772	subsampling	
JQ613571	subsampling	
OM372484	subsampling	
KT992785	subsampling	
MW305678	subsampling	
OQ552769	subsampling	
MZ279715	subsampling	
MN453358	subsampling	
KY424343	subsampling	
KR154230	subsampling	
MK764020	subsampling	
MW981327	subsampling	
LC744868	subsampling	
MH218578	subsampling	
PQ310128	subsampling	
NC_044047	subsampling	
OR546400	subsampling	
PQ196530	subsampling	
KF712492	subsampling	
OM373624	subsampling	
PQ336863	subsampling	
MG692610	subsampling	
KC175393	subsampling	
MF140652	subsampling	
LC122691	subsampling	
PV750886	subsampling	
PQ215545	subsampling	
EU004672	subsampling	
OL913977	subsampling	
LC769684	subsampling	
PP564826	subsampling	
PV920375	subsampling	
MW305593	subsampling	
OL898515	subsampling	
MH218579	subsampling	
MW261799	subsampling	
EU004675	subsampling	
MH218722	subsampling	
LC209478	subsampling	
MW305652	subsampling	
PP658560	subsampling	
PV765577	subsampling	
PP423020	subsampling	
KC175374	subsampling	
AB933679	subsampling	
MT735394	subsampling	
MZ291634	subsampling	
LC877028	subsampling	
KC409256	subsampling	
PV750896	subsampling	
PV784279	subsampling	
PV275063	subsampling	
MT731332	subsampling	
MK733207	subsampling	
LC848169	subsampling	
PV394760	subsampling	
PQ273193	subsampling	
MG571778	subsampling	
OP205543	subsampling	
JX445160	subsampling	
LC122822	subsampling	
MK614125	subsampling	
OQ552784	subsampling	
OR536486	subsampling	
OP162340	subsampling	
PX458268	subsampling	
MW261795	subsampling	
MN248517	subsampling	
MF140642	subsampling	
PP550084	subsampling	
KC464499	subsampling	
PQ215579	subsampling	
PQ373134	subsampling	
MT474041	subsampling	
MW009068	subsampling	
PP550075	subsampling	
LC373451	subsampling	
HQ449728	subsampling	
MK236610	subsampling	
JX459905	subsampling	
MH260504	subsampling	
OM386814	subsampling	
JF320648	subsampling	
